FIPS,Year,State,ST,FIPS State,County,Population,"Estimated Age-adjusted Death Rate, 16 Categories (in ranges)"
01005,2009,Alabama,AL,1,"Barbour County, AL",27657,2.1-4
01005,2004,Alabama,AL,1,"Barbour County, AL",28287,2.1-4
01005,2010,Alabama,AL,1,"Barbour County, AL",27341,4.1-6
01007,2001,Alabama,AL,1,"Bibb County, AL",21028,2.1-4
01007,2014,Alabama,AL,1,"Bibb County, AL",22549,12.1-14
01007,2008,Alabama,AL,1,"Bibb County, AL",22705,8.1-10
01007,2004,Alabama,AL,1,"Bibb County, AL",21721,4.1-6
01007,2006,Alabama,AL,1,"Bibb County, AL",22099,6.1-8
01007,2002,Alabama,AL,1,"Bibb County, AL",21199,4.1-6
01007,2005,Alabama,AL,1,"Bibb County, AL",22042,6.1-8
01007,2010,Alabama,AL,1,"Bibb County, AL",22861,8.1-10
01007,1999,Alabama,AL,1,"Bibb County, AL",20560,2.1-4
01007,2011,Alabama,AL,1,"Bibb County, AL",22733,10.1-12
01007,2015,Alabama,AL,1,"Bibb County, AL",22583,14.1-16
01007,2007,Alabama,AL,1,"Bibb County, AL",22438,6.1-8
01007,2013,Alabama,AL,1,"Bibb County, AL",22512,12.1-14
01007,2012,Alabama,AL,1,"Bibb County, AL",22642,10.1-12
01007,2000,Alabama,AL,1,"Bibb County, AL",19913,2.1-4
01007,2009,Alabama,AL,1,"Bibb County, AL",22941,8.1-10
01007,2003,Alabama,AL,1,"Bibb County, AL",21399,4.1-6
01009,2006,Alabama,AL,1,"Blount County, AL",55485,8.1-10
01009,2015,Alabama,AL,1,"Blount County, AL",57673,16.1-18
01009,2011,Alabama,AL,1,"Blount County, AL",57711,12.1-14
01009,2002,Alabama,AL,1,"Blount County, AL",52551,6.1-8
01009,2000,Alabama,AL,1,"Blount County, AL",51107,4.1-6
01009,2004,Alabama,AL,1,"Blount County, AL",54124,6.1-8
01009,2010,Alabama,AL,1,"Blount County, AL",57373,12.1-14
01009,1999,Alabama,AL,1,"Blount County, AL",50237,4.1-6
01009,2003,Alabama,AL,1,"Blount County, AL",53457,6.1-8
01009,2012,Alabama,AL,1,"Blount County, AL",57776,12.1-14
01009,2001,Alabama,AL,1,"Blount County, AL",51845,6.1-8
01009,2005,Alabama,AL,1,"Blount County, AL",54624,8.1-10
01009,2009,Alabama,AL,1,"Blount County, AL",57341,10.1-12
01009,2007,Alabama,AL,1,"Blount County, AL",56240,8.1-10
01009,2008,Alabama,AL,1,"Blount County, AL",57055,10.1-12
01009,2014,Alabama,AL,1,"Blount County, AL",57658,14.1-16
01009,2013,Alabama,AL,1,"Blount County, AL",57734,14.1-16
01011,2010,Alabama,AL,1,"Bullock County, AL",10887,4.1-6
01011,2011,Alabama,AL,1,"Bullock County, AL",10629,6.1-8
01011,2015,Alabama,AL,1,"Bullock County, AL",10696,8.1-10
01011,2002,Alabama,AL,1,"Bullock County, AL",11256,0-2
01011,2006,Alabama,AL,1,"Bullock County, AL",10776,2.1-4
01011,1999,Alabama,AL,1,"Bullock County, AL",11755,0-2
01011,2008,Alabama,AL,1,"Bullock County, AL",10953,4.1-6
01011,2007,Alabama,AL,1,"Bullock County, AL",11011,2.1-4
01011,2012,Alabama,AL,1,"Bullock County, AL",10606,6.1-8
01011,2003,Alabama,AL,1,"Bullock County, AL",11316,2.1-4
01011,2005,Alabama,AL,1,"Bullock County, AL",11011,2.1-4
01011,2009,Alabama,AL,1,"Bullock County, AL",10987,4.1-6
01011,2014,Alabama,AL,1,"Bullock County, AL",10829,8.1-10
01011,2000,Alabama,AL,1,"Bullock County, AL",11581,0-2
01011,2001,Alabama,AL,1,"Bullock County, AL",11358,0-2
01011,2004,Alabama,AL,1,"Bullock County, AL",11056,2.1-4
01011,2013,Alabama,AL,1,"Bullock County, AL",10628,6.1-8
01013,2004,Alabama,AL,1,"Butler County, AL",20870,2.1-4
01013,2003,Alabama,AL,1,"Butler County, AL",20833,2.1-4
01013,2007,Alabama,AL,1,"Butler County, AL",20894,4.1-6
01013,2010,Alabama,AL,1,"Butler County, AL",20944,6.1-8
01013,1999,Alabama,AL,1,"Butler County, AL",21605,0-2
01013,2005,Alabama,AL,1,"Butler County, AL",20830,2.1-4
01013,2000,Alabama,AL,1,"Butler County, AL",21325,2.1-4
01013,2014,Alabama,AL,1,"Butler County, AL",20276,8.1-10
01013,2009,Alabama,AL,1,"Butler County, AL",20867,4.1-6
01013,2006,Alabama,AL,1,"Butler County, AL",20815,4.1-6
01013,2012,Alabama,AL,1,"Butler County, AL",20408,6.1-8
01013,2001,Alabama,AL,1,"Butler County, AL",21139,2.1-4
01013,2011,Alabama,AL,1,"Butler County, AL",20673,6.1-8
01013,2013,Alabama,AL,1,"Butler County, AL",20261,8.1-10
01013,2008,Alabama,AL,1,"Butler County, AL",20949,4.1-6
01013,2015,Alabama,AL,1,"Butler County, AL",20154,8.1-10
01013,2002,Alabama,AL,1,"Butler County, AL",20803,2.1-4
01015,2006,Alabama,AL,1,"Calhoun County, AL",115388,6.1-8
01015,2007,Alabama,AL,1,"Calhoun County, AL",116211,6.1-8
01015,2015,Alabama,AL,1,"Calhoun County, AL",115620,12.1-14
01015,2011,Alabama,AL,1,"Calhoun County, AL",117768,8.1-10
01015,2001,Alabama,AL,1,"Calhoun County, AL",111266,4.1-6
01015,2004,Alabama,AL,1,"Calhoun County, AL",113462,6.1-8
01015,2008,Alabama,AL,1,"Calhoun County, AL",117274,8.1-10
01015,2002,Alabama,AL,1,"Calhoun County, AL",111625,4.1-6
01015,2000,Alabama,AL,1,"Calhoun County, AL",111081,4.1-6
01015,2013,Alabama,AL,1,"Calhoun County, AL",116575,10.1-12
01015,2010,Alabama,AL,1,"Calhoun County, AL",118437,8.1-10
01015,2005,Alabama,AL,1,"Calhoun County, AL",114477,6.1-8
01015,2012,Alabama,AL,1,"Calhoun County, AL",117286,10.1-12
01015,2014,Alabama,AL,1,"Calhoun County, AL",115993,10.1-12
01015,2009,Alabama,AL,1,"Calhoun County, AL",118363,8.1-10
01015,2003,Alabama,AL,1,"Calhoun County, AL",112705,6.1-8
01015,1999,Alabama,AL,1,"Calhoun County, AL",114910,4.1-6
01017,2000,Alabama,AL,1,"Chambers County, AL",36571,4.1-6
01017,2014,Alabama,AL,1,"Chambers County, AL",34052,10.1-12
01017,2002,Alabama,AL,1,"Chambers County, AL",35965,4.1-6
01017,2011,Alabama,AL,1,"Chambers County, AL",33993,8.1-10
01017,2001,Alabama,AL,1,"Chambers County, AL",36274,4.1-6
01017,2013,Alabama,AL,1,"Chambers County, AL",34153,10.1-12
01017,2006,Alabama,AL,1,"Chambers County, AL",34945,6.1-8
01017,2007,Alabama,AL,1,"Chambers County, AL",34847,6.1-8
01017,2004,Alabama,AL,1,"Chambers County, AL",35463,6.1-8
01017,2012,Alabama,AL,1,"Chambers County, AL",34075,10.1-12
01017,1999,Alabama,AL,1,"Chambers County, AL",36527,4.1-6
01017,2005,Alabama,AL,1,"Chambers County, AL",35279,6.1-8
01017,2003,Alabama,AL,1,"Chambers County, AL",35680,4.1-6
01017,2010,Alabama,AL,1,"Chambers County, AL",34098,8.1-10
01017,2015,Alabama,AL,1,"Chambers County, AL",34123,12.1-14
01017,2009,Alabama,AL,1,"Chambers County, AL",34384,8.1-10
01017,2008,Alabama,AL,1,"Chambers County, AL",34563,6.1-8
01019,2001,Alabama,AL,1,"Cherokee County, AL",24182,4.1-6
01019,2005,Alabama,AL,1,"Cherokee County, AL",25031,6.1-8
01019,2003,Alabama,AL,1,"Cherokee County, AL",24591,6.1-8
01019,2004,Alabama,AL,1,"Cherokee County, AL",24887,6.1-8
01019,2013,Alabama,AL,1,"Cherokee County, AL",26084,14.1-16
01019,2011,Alabama,AL,1,"Cherokee County, AL",26080,12.1-14
01019,2012,Alabama,AL,1,"Cherokee County, AL",26023,12.1-14
01019,2010,Alabama,AL,1,"Cherokee County, AL",25976,10.1-12
01019,2007,Alabama,AL,1,"Cherokee County, AL",25553,8.1-10
01019,2002,Alabama,AL,1,"Cherokee County, AL",24403,6.1-8
01019,2008,Alabama,AL,1,"Cherokee County, AL",25636,8.1-10
01019,2009,Alabama,AL,1,"Cherokee County, AL",25854,10.1-12
01019,2015,Alabama,AL,1,"Cherokee County, AL",25859,16.1-18
01019,2014,Alabama,AL,1,"Cherokee County, AL",25995,14.1-16
01019,2000,Alabama,AL,1,"Cherokee County, AL",24006,4.1-6
01019,2006,Alabama,AL,1,"Cherokee County, AL",25466,8.1-10
01019,1999,Alabama,AL,1,"Cherokee County, AL",23605,4.1-6
01021,2014,Alabama,AL,1,"Chilton County, AL",43921,16.1-18
01021,2004,Alabama,AL,1,"Chilton County, AL",41534,8.1-10
01021,2008,Alabama,AL,1,"Chilton County, AL",43239,10.1-12
01021,2000,Alabama,AL,1,"Chilton County, AL",39897,6.1-8
01021,2002,Alabama,AL,1,"Chilton County, AL",40683,6.1-8
01021,2006,Alabama,AL,1,"Chilton County, AL",42318,10.1-12
01021,1999,Alabama,AL,1,"Chilton County, AL",38862,6.1-8
01021,2013,Alabama,AL,1,"Chilton County, AL",43795,16.1-18
01021,2010,Alabama,AL,1,"Chilton County, AL",43665,12.1-14
01021,2011,Alabama,AL,1,"Chilton County, AL",43739,14.1-16
01021,2001,Alabama,AL,1,"Chilton County, AL",40197,6.1-8
01021,2003,Alabama,AL,1,"Chilton County, AL",41079,8.1-10
01021,2005,Alabama,AL,1,"Chilton County, AL",41946,8.1-10
01021,2007,Alabama,AL,1,"Chilton County, AL",42881,10.1-12
01021,2015,Alabama,AL,1,"Chilton County, AL",43943,18.1-20
01021,2012,Alabama,AL,1,"Chilton County, AL",43697,14.1-16
01021,2009,Alabama,AL,1,"Chilton County, AL",43484,12.1-14
01023,2008,Alabama,AL,1,"Choctaw County, AL",14114,4.1-6
01023,2003,Alabama,AL,1,"Choctaw County, AL",15199,2.1-4
01023,2013,Alabama,AL,1,"Choctaw County, AL",13378,8.1-10
01023,2014,Alabama,AL,1,"Choctaw County, AL",13289,8.1-10
01023,2005,Alabama,AL,1,"Choctaw County, AL",14545,2.1-4
01023,2000,Alabama,AL,1,"Choctaw County, AL",15875,0-2
01023,2001,Alabama,AL,1,"Choctaw County, AL",15677,0-2
01023,2007,Alabama,AL,1,"Choctaw County, AL",14216,4.1-6
01023,2010,Alabama,AL,1,"Choctaw County, AL",13841,6.1-8
01023,2002,Alabama,AL,1,"Choctaw County, AL",15367,0-2
01023,2011,Alabama,AL,1,"Choctaw County, AL",13593,6.1-8
01023,2006,Alabama,AL,1,"Choctaw County, AL",14431,2.1-4
01023,2004,Alabama,AL,1,"Choctaw County, AL",14930,2.1-4
01023,2015,Alabama,AL,1,"Choctaw County, AL",13170,10.1-12
01023,1999,Alabama,AL,1,"Choctaw County, AL",15931,0-2
01023,2012,Alabama,AL,1,"Choctaw County, AL",13543,6.1-8
01023,2009,Alabama,AL,1,"Choctaw County, AL",13976,4.1-6
01025,2003,Alabama,AL,1,"Clarke County, AL",27090,2.1-4
01025,2000,Alabama,AL,1,"Clarke County, AL",27819,0-2
01025,2005,Alabama,AL,1,"Clarke County, AL",26764,2.1-4
01025,2006,Alabama,AL,1,"Clarke County, AL",26755,2.1-4
01025,2001,Alabama,AL,1,"Clarke County, AL",27624,0-2
01025,2007,Alabama,AL,1,"Clarke County, AL",26436,4.1-6
01025,2004,Alabama,AL,1,"Clarke County, AL",26958,2.1-4
01025,2011,Alabama,AL,1,"Clarke County, AL",25570,6.1-8
01025,2014,Alabama,AL,1,"Clarke County, AL",24847,8.1-10
01025,2010,Alabama,AL,1,"Clarke County, AL",25767,4.1-6
01025,2002,Alabama,AL,1,"Clarke County, AL",27267,2.1-4
01025,2013,Alabama,AL,1,"Clarke County, AL",25116,6.1-8
01025,2009,Alabama,AL,1,"Clarke County, AL",26038,4.1-6
01025,2015,Alabama,AL,1,"Clarke County, AL",24675,8.1-10
01025,2012,Alabama,AL,1,"Clarke County, AL",25144,6.1-8
01025,2008,Alabama,AL,1,"Clarke County, AL",26283,4.1-6
01025,1999,Alabama,AL,1,"Clarke County, AL",27919,0-2
01027,1999,Alabama,AL,1,"Clay County, AL",14174,0-2
01027,2007,Alabama,AL,1,"Clay County, AL",14085,4.1-6
01027,2012,Alabama,AL,1,"Clay County, AL",13456,6.1-8
01027,2003,Alabama,AL,1,"Clay County, AL",14203,2.1-4
01027,2009,Alabama,AL,1,"Clay County, AL",14006,4.1-6
01027,2004,Alabama,AL,1,"Clay County, AL",14121,2.1-4
01027,2011,Alabama,AL,1,"Clay County, AL",13670,6.1-8
01027,2010,Alabama,AL,1,"Clay County, AL",13880,6.1-8
01027,2005,Alabama,AL,1,"Clay County, AL",14077,2.1-4
01027,2006,Alabama,AL,1,"Clay County, AL",14053,2.1-4
01027,2013,Alabama,AL,1,"Clay County, AL",13467,8.1-10
01027,2000,Alabama,AL,1,"Clay County, AL",14263,0-2
01027,2008,Alabama,AL,1,"Clay County, AL",14161,4.1-6
01027,2014,Alabama,AL,1,"Clay County, AL",13538,8.1-10
01027,2015,Alabama,AL,1,"Clay County, AL",13555,10.1-12
01027,2001,Alabama,AL,1,"Clay County, AL",14298,0-2
01027,2002,Alabama,AL,1,"Clay County, AL",14257,0-2
01029,2006,Alabama,AL,1,"Cleburne County, AL",14538,6.1-8
01029,2012,Alabama,AL,1,"Cleburne County, AL",14921,12.1-14
01029,2002,Alabama,AL,1,"Cleburne County, AL",14416,4.1-6
01029,2011,Alabama,AL,1,"Cleburne County, AL",14971,10.1-12
01029,2013,Alabama,AL,1,"Cleburne County, AL",15028,14.1-16
01029,2015,Alabama,AL,1,"Cleburne County, AL",15018,16.1-18
01029,2004,Alabama,AL,1,"Cleburne County, AL",14339,4.1-6
01029,2003,Alabama,AL,1,"Cleburne County, AL",14438,4.1-6
01029,2014,Alabama,AL,1,"Cleburne County, AL",15072,14.1-16
01029,1999,Alabama,AL,1,"Cleburne County, AL",14039,2.1-4
01029,2005,Alabama,AL,1,"Cleburne County, AL",14368,6.1-8
01029,2008,Alabama,AL,1,"Cleburne County, AL",14874,8.1-10
01029,2010,Alabama,AL,1,"Cleburne County, AL",14973,10.1-12
01029,2001,Alabama,AL,1,"Cleburne County, AL",14222,2.1-4
01029,2007,Alabama,AL,1,"Cleburne County, AL",14799,8.1-10
01029,2000,Alabama,AL,1,"Cleburne County, AL",14172,2.1-4
01029,2009,Alabama,AL,1,"Cleburne County, AL",14918,8.1-10
01031,2001,Alabama,AL,1,"Coffee County, AL",43716,2.1-4
01031,2007,Alabama,AL,1,"Coffee County, AL",47458,4.1-6
01031,2011,Alabama,AL,1,"Coffee County, AL",50448,6.1-8
01031,2000,Alabama,AL,1,"Coffee County, AL",43580,2.1-4
01031,2003,Alabama,AL,1,"Coffee County, AL",44315,4.1-6
01031,2004,Alabama,AL,1,"Coffee County, AL",45053,4.1-6
01031,1999,Alabama,AL,1,"Coffee County, AL",43667,2.1-4
01031,2010,Alabama,AL,1,"Coffee County, AL",50177,6.1-8
01031,2012,Alabama,AL,1,"Coffee County, AL",51173,6.1-8
01031,2013,Alabama,AL,1,"Coffee County, AL",50755,8.1-10
01031,2015,Alabama,AL,1,"Coffee County, AL",51211,8.1-10
01031,2014,Alabama,AL,1,"Coffee County, AL",50831,8.1-10
01031,2008,Alabama,AL,1,"Coffee County, AL",48516,6.1-8
01031,2009,Alabama,AL,1,"Coffee County, AL",49440,6.1-8
01031,2006,Alabama,AL,1,"Coffee County, AL",46228,4.1-6
01031,2005,Alabama,AL,1,"Coffee County, AL",45604,4.1-6
01031,2002,Alabama,AL,1,"Coffee County, AL",43930,4.1-6
01033,2000,Alabama,AL,1,"Colbert County, AL",54997,2.1-4
01033,2010,Alabama,AL,1,"Colbert County, AL",54514,6.1-8
01033,2014,Alabama,AL,1,"Colbert County, AL",54480,6.1-8
01033,2006,Alabama,AL,1,"Colbert County, AL",54413,4.1-6
01033,2007,Alabama,AL,1,"Colbert County, AL",54486,4.1-6
01033,2013,Alabama,AL,1,"Colbert County, AL",54471,6.1-8
01033,2009,Alabama,AL,1,"Colbert County, AL",54426,4.1-6
01033,2002,Alabama,AL,1,"Colbert County, AL",54536,2.1-4
01033,2015,Alabama,AL,1,"Colbert County, AL",54354,8.1-10
01033,1999,Alabama,AL,1,"Colbert County, AL",54715,2.1-4
01033,2005,Alabama,AL,1,"Colbert County, AL",54359,4.1-6
01033,2001,Alabama,AL,1,"Colbert County, AL",54793,2.1-4
01033,2012,Alabama,AL,1,"Colbert County, AL",54472,6.1-8
01033,2003,Alabama,AL,1,"Colbert County, AL",54279,2.1-4
01033,2004,Alabama,AL,1,"Colbert County, AL",54380,4.1-6
01033,2011,Alabama,AL,1,"Colbert County, AL",54443,6.1-8
01033,2008,Alabama,AL,1,"Colbert County, AL",54473,4.1-6
01035,2006,Alabama,AL,1,"Conecuh County, AL",13603,8.1-10
01035,2014,Alabama,AL,1,"Conecuh County, AL",12662,16.1-18
01035,1999,Alabama,AL,1,"Conecuh County, AL",14158,2.1-4
01035,2012,Alabama,AL,1,"Conecuh County, AL",12996,14.1-16
01035,2000,Alabama,AL,1,"Conecuh County, AL",14035,4.1-6
01035,2007,Alabama,AL,1,"Conecuh County, AL",13441,8.1-10
01035,2002,Alabama,AL,1,"Conecuh County, AL",13793,4.1-6
01035,2008,Alabama,AL,1,"Conecuh County, AL",13388,10.1-12
01035,2011,Alabama,AL,1,"Conecuh County, AL",13121,12.1-14
01035,2015,Alabama,AL,1,"Conecuh County, AL",12672,18.1-20
01035,2009,Alabama,AL,1,"Conecuh County, AL",13274,10.1-12
01035,2004,Alabama,AL,1,"Conecuh County, AL",13430,6.1-8
01035,2013,Alabama,AL,1,"Conecuh County, AL",12875,16.1-18
01035,2010,Alabama,AL,1,"Conecuh County, AL",13208,12.1-14
01035,2005,Alabama,AL,1,"Conecuh County, AL",13421,6.1-8
01035,2003,Alabama,AL,1,"Conecuh County, AL",13585,4.1-6
01035,2001,Alabama,AL,1,"Conecuh County, AL",13940,4.1-6
01037,2008,Alabama,AL,1,"Coosa County, AL",11493,6.1-8
01037,2004,Alabama,AL,1,"Coosa County, AL",11560,4.1-6
01037,2013,Alabama,AL,1,"Coosa County, AL",11059,10.1-12
01037,2007,Alabama,AL,1,"Coosa County, AL",11439,6.1-8
01037,2002,Alabama,AL,1,"Coosa County, AL",11740,2.1-4
01037,2011,Alabama,AL,1,"Coosa County, AL",11348,8.1-10
01037,2012,Alabama,AL,1,"Coosa County, AL",11195,10.1-12
01037,2003,Alabama,AL,1,"Coosa County, AL",11732,4.1-6
01037,2005,Alabama,AL,1,"Coosa County, AL",11467,4.1-6
01037,2015,Alabama,AL,1,"Coosa County, AL",10724,12.1-14
01037,2010,Alabama,AL,1,"Coosa County, AL",11758,8.1-10
01037,2014,Alabama,AL,1,"Coosa County, AL",10807,10.1-12
01037,2001,Alabama,AL,1,"Coosa County, AL",11848,2.1-4
01037,2000,Alabama,AL,1,"Coosa County, AL",11844,2.1-4
01037,1999,Alabama,AL,1,"Coosa County, AL",12135,2.1-4
01037,2009,Alabama,AL,1,"Coosa County, AL",11410,6.1-8
01037,2006,Alabama,AL,1,"Coosa County, AL",11451,4.1-6
01039,2001,Alabama,AL,1,"Covington County, AL",37069,2.1-4
01039,2004,Alabama,AL,1,"Covington County, AL",36806,2.1-4
01039,2012,Alabama,AL,1,"Covington County, AL",37818,6.1-8
16033,2001,Idaho,ID,16,"Clark County, ID",965,0-2
01039,2000,Alabama,AL,1,"Covington County, AL",37514,2.1-4
01039,2008,Alabama,AL,1,"Covington County, AL",37545,4.1-6
01039,2007,Alabama,AL,1,"Covington County, AL",37631,4.1-6
01039,2014,Alabama,AL,1,"Covington County, AL",37888,8.1-10
01039,2015,Alabama,AL,1,"Covington County, AL",37835,8.1-10
01039,2006,Alabama,AL,1,"Covington County, AL",37441,4.1-6
01039,2003,Alabama,AL,1,"Covington County, AL",36860,2.1-4
01039,2002,Alabama,AL,1,"Covington County, AL",36901,2.1-4
01039,2011,Alabama,AL,1,"Covington County, AL",38060,6.1-8
01039,2005,Alabama,AL,1,"Covington County, AL",37204,2.1-4
01039,2010,Alabama,AL,1,"Covington County, AL",37796,6.1-8
01039,1999,Alabama,AL,1,"Covington County, AL",37843,0-2
01039,2009,Alabama,AL,1,"Covington County, AL",37648,4.1-6
01039,2013,Alabama,AL,1,"Covington County, AL",37830,8.1-10
01041,2013,Alabama,AL,1,"Crenshaw County, AL",13932,10.1-12
01041,2014,Alabama,AL,1,"Crenshaw County, AL",13948,12.1-14
01041,2008,Alabama,AL,1,"Crenshaw County, AL",13922,6.1-8
01041,2002,Alabama,AL,1,"Crenshaw County, AL",13635,2.1-4
01041,1999,Alabama,AL,1,"Crenshaw County, AL",13584,0-2
01041,2011,Alabama,AL,1,"Crenshaw County, AL",13896,8.1-10
01041,2015,Alabama,AL,1,"Crenshaw County, AL",13963,12.1-14
01041,2001,Alabama,AL,1,"Crenshaw County, AL",13724,2.1-4
01041,2000,Alabama,AL,1,"Crenshaw County, AL",13692,2.1-4
01041,2010,Alabama,AL,1,"Crenshaw County, AL",13853,6.1-8
01041,2004,Alabama,AL,1,"Crenshaw County, AL",13727,2.1-4
01041,2012,Alabama,AL,1,"Crenshaw County, AL",13951,8.1-10
01041,2003,Alabama,AL,1,"Crenshaw County, AL",13652,2.1-4
01041,2009,Alabama,AL,1,"Crenshaw County, AL",14024,6.1-8
01041,2007,Alabama,AL,1,"Crenshaw County, AL",13956,4.1-6
01041,2005,Alabama,AL,1,"Crenshaw County, AL",13699,4.1-6
01041,2006,Alabama,AL,1,"Crenshaw County, AL",13880,4.1-6
01043,2014,Alabama,AL,1,"Cullman County, AL",81221,10.1-12
01043,2005,Alabama,AL,1,"Cullman County, AL",78692,4.1-6
01043,2003,Alabama,AL,1,"Cullman County, AL",77657,4.1-6
01043,2009,Alabama,AL,1,"Cullman County, AL",80351,6.1-8
01043,2002,Alabama,AL,1,"Cullman County, AL",77443,4.1-6
01043,2015,Alabama,AL,1,"Cullman County, AL",82005,10.1-12
01043,2013,Alabama,AL,1,"Cullman County, AL",80756,8.1-10
01043,2006,Alabama,AL,1,"Cullman County, AL",79044,6.1-8
01043,2001,Alabama,AL,1,"Cullman County, AL",77415,4.1-6
01043,1999,Alabama,AL,1,"Cullman County, AL",77065,2.1-4
01043,2008,Alabama,AL,1,"Cullman County, AL",80273,6.1-8
01043,2004,Alabama,AL,1,"Cullman County, AL",78131,4.1-6
01043,2007,Alabama,AL,1,"Cullman County, AL",79576,6.1-8
01043,2010,Alabama,AL,1,"Cullman County, AL",80473,8.1-10
01043,2011,Alabama,AL,1,"Cullman County, AL",80469,8.1-10
01043,2000,Alabama,AL,1,"Cullman County, AL",77473,4.1-6
01043,2012,Alabama,AL,1,"Cullman County, AL",80374,8.1-10
01045,2012,Alabama,AL,1,"Dale County, AL",50324,10.1-12
01045,2006,Alabama,AL,1,"Dale County, AL",49077,6.1-8
01045,2009,Alabama,AL,1,"Dale County, AL",49854,8.1-10
01045,2003,Alabama,AL,1,"Dale County, AL",49215,4.1-6
01045,2000,Alabama,AL,1,"Dale County, AL",49124,4.1-6
01045,2015,Alabama,AL,1,"Dale County, AL",49565,12.1-14
01045,2007,Alabama,AL,1,"Dale County, AL",49488,6.1-8
01045,1999,Alabama,AL,1,"Dale County, AL",49118,4.1-6
01045,2005,Alabama,AL,1,"Dale County, AL",49050,6.1-8
01045,2008,Alabama,AL,1,"Dale County, AL",49871,6.1-8
01045,2004,Alabama,AL,1,"Dale County, AL",49245,6.1-8
01045,2002,Alabama,AL,1,"Dale County, AL",49373,4.1-6
01045,2011,Alabama,AL,1,"Dale County, AL",50109,8.1-10
01045,2001,Alabama,AL,1,"Dale County, AL",49254,4.1-6
01045,2010,Alabama,AL,1,"Dale County, AL",50358,8.1-10
01045,2014,Alabama,AL,1,"Dale County, AL",49501,10.1-12
01045,2013,Alabama,AL,1,"Dale County, AL",49833,10.1-12
01047,2012,Alabama,AL,1,"Dallas County, AL",42777,6.1-8
01047,2003,Alabama,AL,1,"Dallas County, AL",45170,2.1-4
01047,2000,Alabama,AL,1,"Dallas County, AL",46198,2.1-4
01047,2010,Alabama,AL,1,"Dallas County, AL",43803,4.1-6
